구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨 설치유형,화장실입구cctv설치유무,기저귀교환대장소,리모델링년월,데이터기준일자
개방화장실,상공회의소,수원시 장안구 수성로 311(정자동),수원시 장안구 정자동 80-17,N,2,3,1,0,0,0,3,1,0,상공회의소,031-244-3451,9시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,연무시장(연무종합상가),수원시 장안구 월드컵로428번길 19연무동),수원시 장안구 연무동 235-14,N,2,2,0,0,0,0,2,0,0,연무시장(연무종합상가),031-249-3429,13시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,화물자동차경기지부,수원시 장안구 경수대로 963(송죽동),수원시 장안구 송죽동 495-6,N,2,3,0,0,0,0,3,0,0,화물자동차경기지부,031-259-3470,12시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,하이디프라자,수원시 권선구 곡선로49번길2(곡반정동),수원시 권선구 곡반정동 556-2,N,2,2,0,0,0,0,2,1,0,하이디프라자,031-242-9563,17시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,필드스크린 골프존,수원시 권선구 서부로 1858(구운동),수원시 권선구 구운동 313-1,N,1,1,0,0,0,0,1,0,0,필드스크린 골프존,031-296-5050,24시간,,,,민간,상업시설,수세식,없음,N,없음,,2020.9.3
개방화장실,블루테라스빌딩,수원시 권선구 호매실로90번길 116 (호매실동),수원시 권선구 호매실동 1395-3,N,3,2,1,0,0,0,3,1,0,블루테라스빌딩,,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,딜라이트타워,수원시 권선구 금곡로 213 (금곡동),수원시 권선구 금곡동 1114,N,3,3,1,0,0,0,4,1,0,딜라이트타워,,24시간,,,,민간,상업시설,수세식,여자,N,여자화장실,,2020.9.3
개방화장실,태양프라자,수원시 권선구 동수원로242번길 20 (권선동),수원시 권선구 권선동 1297-5,N,2,2,0,0,0,0,2,0,0,태양프라자,,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,일담타워,수원시 권선구 금곡로118번길 10 (금곡동),수원시 권선구 금곡동 1088-1,N,4,3,1,0,0,0,5,1,0,일담타워,,24시간,,,,민간,상업시설,수세식,없음,Y,여자화장실,,2020.9.3
개방화장실,기와집,수원시 권선구 서수원로594번길 260 (입북동),수원시 권선구 입북동 631-7,N,1,1,0,0,0,0,1,0,0,기와집,031-298-8882,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,입북프라자,수원시 권선구 율전로 2(입북동),수원시 권선구 입북동 251-8,N,1,2,0,0,0,0,2,0,0,입북프라자,,24시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,LG빌리지종합상가,수원시 권선구 금곡로73번길 33(금곡동),수원시 권선구 금곡동 530,N,3,3,0,0,0,0,3,0,0,LG빌리지종합상가,031-297-7469,18시간,,,,민간,상업시설,수세식,없음,N,없음,,2020.9.3
개방화장실,케이엘빌딩,수원시 권선구 효원로 218 (권선동),수원시 권선구 권선동 1010,N,2,2,0,0,0,0,2,0,0,케이엘빌딩,031-221-2774,18시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,메가스터디학원,수원시 권선구 권광로 86 (권선동),수원시 권선구 권선동 1041-2,N,1,1,1,0,0,0,1,1,0,메가스터디학원,031-222-6222,16시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,베스토아빌딩,수원시 권선구 세권로304번길 62 (권선동),수원시 권선구 권선동 1296-7,N,2,2,0,0,0,0,2,0,0,베스토아빌딩,031-221-2624,15시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,세진셀프세차장,수원시 권선구 장다리로 2(세류동),수원시 권선구 세류동 1123,N,1,1,0,0,0,0,1,0,0,세진셀프세차장,031-225-5699,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,중앙스포츠랜드,수원시 권선구 매송고색로 755(고색동),수원시 권선구 고색동 27-1,N,2,2,0,0,0,0,2,0,0,중앙스포츠랜드,031-294-3344,24시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,웰빙프라자,수원시 권선구 세지로 73(세류동),수원시 권선구 세류동 862,N,2,3,0,0,0,0,2,0,0,웰빙프라자,031-239-2112,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,(사)한국노총,수원시 권선구 호매실로 46-16(탑동),수원시 권선구 탑동 903,N,2,4,0,0,0,0,4,0,0,(사)한국노총,,16시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,나눔프라자,수원시 권선구 동수원로242번길 6(권선동),수원시 권선구 권선동 1296-2,N,5,5,0,0,0,0,6,0,0,나눔프라자,031-239-4597,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,원영빌딩(권선한의원),수원시 권선구 세권로 186(권선동),수원시 권선구 권선동 1062-12,N,1,2,0,0,0,0,1,0,0,원영빌딩(권선한의원),,12시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,권선시장,수원시 권선구 세권로 185(권선동),수원시 권선구 권선동 1051,N,5,5,0,0,0,0,6,0,0,권선시장,031-237-0903,17시간,,,,민간,상업시설,수세식,없음,N,여자화장실,,2020.9.3
